agent,perturb_rate,repair_cost,threshold,seed,viability,survived,success,steps,hazard_hits,repairs,final_energy,mean_self_error,mean_reliability
mirror,0.0,0,0.8,4457,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4458,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4458,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4458,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4458,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4458,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4459,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4459,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4459,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4459,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4459,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4460,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4460,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4460,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4460,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4460,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4461,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4461,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4461,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4461,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4461,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4462,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4462,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4462,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4462,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4462,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4463,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4463,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4463,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4463,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4463,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4464,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4464,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4464,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4464,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4464,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4465,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4465,129.3,1,1,18,0,0,32.0,0.0,1.0
