agent,perturb_rate,repair_cost,threshold,viability_mean,viability_sem,survival_rate,success_rate,mean_steps,mean_hazard_hits,mean_repairs,mean_self_error,mean_reliability,n
mirror,0.0,8,0.8,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
mirror,0.0,10,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
mirror,0.0,10,0.5,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
mirror,0.0,10,0.65,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
mirror,0.0,10,0.8,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
mirror,0.0,12,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
mirror,0.0,12,0.5,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
mirror,0.0,12,0.65,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
mirror,0.0,12,0.8,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
mirror,0.0,15,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
mirror,0.0,15,0.5,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
mirror,0.0,15,0.65,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
mirror,0.0,15,0.8,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90
mirror,0.04,0,0.35,102.98333333333333,5.500884334761046,0.8,0.8,27.066666666666666,0.5666666666666667,0.2777777777777778,0.6259117747542071,0.9262820563410931,90
mirror,0.04,0,0.5,114.9088888888889,5.198244840744874,0.9,0.9,24.57777777777778,0.4777777777777778,0.4444444444444444,0.5382865568407864,0.9613814304916117,90
mirror,0.04,0,0.65,121.77111111111113,3.639580666344349,0.9555555555555556,0.9555555555555556,22.155555555555555,0.34444444444444444,0.5555555555555556,0.5011696678685832,0.9807888464806949,90
mirror,0.04,0,0.8,124.41333333333334,2.7872673760724593,0.9777777777777777,0.9777777777777777,22.07777777777778,0.36666666666666664,0.6111111111111112,0.44968548209802817,0.9904520147920721,90
mirror,0.04,2,0.35,91.22777777777777,6.024039861183941,0.7111111111111111,0.6777777777777778,29.711111111111112,0.5777777777777777,0.32222222222222224,0.8133302325334095,0.922983271018625,90
mirror,0.04,2,0.5,108.44777777777779,5.636383773474982,0.8555555555555555,0.8222222222222222,30.08888888888889,0.6444444444444445,0.6,0.6545041042461194,0.9602162497542218,90
mirror,0.04,2,0.65,123.70333333333335,3.465945779987439,0.9666666666666667,0.9555555555555556,26.555555555555557,0.43333333333333335,0.6,0.5777282855749123,0.9795847249246974,90
mirror,0.04,2,0.8,124.98555555555556,2.3564370156057923,0.9777777777777777,0.9777777777777777,23.8,0.3333333333333333,0.6444444444444445,0.5635669849878369,0.9886801130706624,90
mirror,0.04,4,0.35,91.30555555555556,6.424277914238966,0.7,0.7,28.344444444444445,0.5777777777777777,0.23333333333333334,0.6952627813983508,0.9264480431840917,90
mirror,0.04,4,0.5,106.91555555555557,5.99677626902587,0.8444444444444444,0.8222222222222222,28.211111111111112,0.5666666666666667,0.4888888888888889,0.6048676578941006,0.9617213818695981,90
mirror,0.04,4,0.65,114.17444444444445,4.990959507626696,0.8888888888888888,0.8888888888888888,26.72222222222222,0.4777777777777778,0.6111111111111112,0.5733940158790891,0.981255106949636,90
mirror,0.04,4,0.8,112.25333333333334,4.754469137456486,0.9,0.9,24.522222222222222,0.5111111111111111,0.6111111111111112,0.525231089781476,0.9893430890146974,90
mirror,0.04,6,0.35,88.38666666666667,6.565932429150471,0.6888888888888889,0.6777777777777778,29.711111111111112,0.6,0.32222222222222224,0.8055954811217053,0.9136676254734223,90
mirror,0.04,6,0.5,102.2,6.438674113866091,0.8222222222222222,0.8111111111111111,28.511111111111113,0.6666666666666666,0.5666666666666667,0.6696800687684129,0.9572900951609284,90
mirror,0.04,6,0.65,103.13555555555557,6.173362355662422,0.8333333333333334,0.8333333333333334,28.155555555555555,0.7333333333333333,0.6888888888888889,0.5340024447031275,0.9779462962962205,90
mirror,0.04,6,0.8,106.63555555555557,5.8329481544551784,0.8666666666666667,0.8666666666666667,27.88888888888889,0.7333333333333333,0.7222222222222222,0.5111820734468794,0.983869087691146,90
mirror,0.04,8,0.35,85.26111111111112,6.811427515954694,0.6555555555555556,0.6555555555555556,28.166666666666668,0.5333333333333333,0.3111111111111111,0.7467467550195568,0.9212884751996893,90
mirror,0.04,8,0.5,97.84555555555556,6.129129230272116,0.7555555555555555,0.7444444444444445,27.81111111111111,0.3888888888888889,0.5,0.6563678024140062,0.9549058961821533,90
mirror,0.04,8,0.65,104.28333333333333,5.986036237586845,0.8333333333333334,0.8333333333333334,27.755555555555556,0.5444444444444444,0.6111111111111112,0.5323355990785733,0.9743572428069729,90
mirror,0.04,8,0.8,104.28333333333333,5.986036237586845,0.8333333333333334,0.8333333333333334,27.755555555555556,0.5444444444444444,0.6111111111111112,0.5323355990785733,0.9743572428069729,90
mirror,0.04,10,0.35,80.22666666666667,6.952925142697142,0.6222222222222222,0.6222222222222222,27.18888888888889,0.4666666666666667,0.3,0.9098458822370843,0.9167766022253594,90
