agent,perturb_rate,repair_cost,best_threshold,viability_mean,viability_sem,survival_rate,success_rate,mean_steps,mean_hazard_hits,mean_repairs,mean_self_error,mean_reliability,n,baseline_viability,baseline_survival,baseline_success,baseline_self_error,baseline_hazard_hits,delta_viability,delta_survival,mirror_positive
mirror,0.08,4,0.8,99.58555555555556,6.55150277928233,0.8222222222222222,0.8222222222222222,28.711111111111112,0.7666666666666667,1.211111111111111,0.79941802057016,0.9832276671557486,90,61.205555555555556,0.43333333333333335,0.43333333333333335,1.4662997085653529,0.7777777777777778,38.38,0.38888888888888884,1
mirror,0.08,6,0.8,77.37444444444445,8.023733608893972,0.6777777777777778,0.6777777777777778,28.7,0.9888888888888889,1.2333333333333334,0.8465348791315972,0.9755056579020057,90,58.784444444444446,0.4444444444444444,0.4444444444444444,1.5980202167692363,0.8888888888888888,18.590000000000003,0.2333333333333334,1
mirror,0.08,8,0.8,65.17111111111112,8.195730633100883,0.5777777777777777,0.5777777777777777,31.07777777777778,1.0444444444444445,1.1888888888888889,1.0851800124207336,0.9679167992039481,90,48.165555555555564,0.35555555555555557,0.34444444444444444,1.821268043475824,0.9888888888888889,17.005555555555553,0.22222222222222215,1
mirror,0.08,10,0.65,49.64,8.452590528453266,0.4777777777777778,0.4777777777777778,30.18888888888889,1.0222222222222221,1.0555555555555556,1.0619931484053378,0.9522022921517274,90,50.471111111111114,0.35555555555555557,0.34444444444444444,1.7417876512916608,0.9333333333333333,-0.8311111111111131,0.12222222222222223,0
mirror,0.08,12,0.5,50.36333333333333,7.733408150548584,0.45555555555555555,0.45555555555555555,30.122222222222224,0.8333333333333334,0.7777777777777778,1.29235269536295,0.9293734195222423,90,49.72555555555556,0.37777777777777777,0.35555555555555557,1.8179474414446866,0.9666666666666667,0.6377777777777709,0.07777777777777778,1
mirror,0.08,15,0.35,42.57222222222222,7.494152823119776,0.36666666666666664,0.36666666666666664,31.466666666666665,0.8555555555555555,0.4,1.6527449705685544,0.8795247139772411,90,51.99444444444445,0.3888888888888889,0.37777777777777777,1.8791547397985853,0.9111111111111111,-9.422222222222224,-0.022222222222222254,0
mirror,0.12,0,0.8,88.78888888888889,7.965514066473182,0.7444444444444445,0.7444444444444445,31.5,1.2666666666666666,1.9444444444444444,1.3544635149232727,0.9763776632988721,90,32.31111111111111,0.26666666666666666,0.26666666666666666,2.4937558217653333,1.3333333333333333,56.47777777777778,0.4777777777777778,1
mirror,0.12,2,0.8,97.72444444444446,6.738963847329074,0.8,0.8,28.466666666666665,0.7777777777777778,1.6888888888888889,1.384140354935788,0.9772835431121388,90,39.87111111111111,0.2777777777777778,0.2777777777777778,2.785641757995976,1.0555555555555556,57.853333333333346,0.5222222222222223,1
mirror,0.12,4,0.8,62.501111111111115,8.12084177577529,0.5555555555555556,0.5444444444444444,33.87777777777778,1.1777777777777778,1.988888888888889,1.345616085678646,0.976363434717804,90,29.843333333333334,0.23333333333333334,0.2222222222222222,2.455783820419575,1.1777777777777778,32.65777777777778,0.32222222222222224,1
mirror,0.12,6,0.8,50.90111111111111,8.069073757067157,0.4888888888888889,0.4888888888888889,32.233333333333334,1.2333333333333334,1.8,1.4022256549480143,0.9725484404541477,90,33.035555555555554,0.24444444444444444,0.24444444444444444,2.7454652663267862,1.1666666666666667,17.86555555555556,0.24444444444444444,1
mirror,0.12,8,0.65,51.49777777777778,7.571547202233496,0.45555555555555555,0.45555555555555555,32.266666666666666,0.8666666666666667,1.288888888888889,1.4700498944772038,0.9609198912746503,90,43.93,0.3333333333333333,0.32222222222222224,2.347130724192567,1.0222222222222221,7.567777777777778,0.12222222222222223,1
mirror,0.12,10,0.35,35.138888888888886,7.636082571568444,0.3333333333333333,0.32222222222222224,34.62222222222222,1.1555555555555554,0.6444444444444445,2.2855180272695956,0.8602910959666782,90,37.14333333333333,0.3,0.3,2.6634959143158023,1.2222222222222223,-2.004444444444445,0.033333333333333326,0
mirror,0.12,12,0.35,26.49777777777778,7.177977830647908,0.2777777777777778,0.26666666666666666,34.022222222222226,1.1888888888888889,0.6111111111111112,2.533756135201214,0.8607501091389547,90,32.471111111111114,0.25555555555555554,0.24444444444444444,2.9049845140343136,1.2444444444444445,-5.973333333333333,0.022222222222222254,0
mirror,0.12,15,0.35,26.955555555555556,7.352274544422094,0.28888888888888886,0.28888888888888886,31.511111111111113,1.0,0.6,2.2953175081772077,0.848508397794227,90,33.04333333333334,0.25555555555555554,0.25555555555555554,2.6346218822948675,1.1666666666666667,-6.087777777777781,0.033333333333333326,0
mirror,0.16,0,0.8,90.36111111111111,7.08299218291832,0.7444444444444445,0.7333333333333333,30.944444444444443,1.1333333333333333,2.011111111111111,1.7412761212753853,0.9717884162266682,90,30.99,0.2222222222222222,0.2,3.183887688689786,1.2555555555555555,59.37111111111112,0.5222222222222223,1
mirror,0.16,2,0.8,79.29444444444445,7.809040722554829,0.6777777777777778,0.6666666666666666,28.7,0.9444444444444444,1.7555555555555555,1.6664751512724008,0.9752468203123618,90,39.175555555555555,0.3,0.28888888888888886,2.8659924118752946,1.1555555555555554,40.1188888888889,0.3777777777777778,1
mirror,0.16,4,0.8,64.39222222222223,7.722518627494817,0.5333333333333333,0.5333333333333333,35.22222222222222,1.0333333333333334,2.0,1.6266738989292588,0.9764616311390022,90,46.94555555555556,0.36666666666666664,0.35555555555555557,2.620749202667006,1.0777777777777777,17.446666666666673,0.16666666666666669,1
mirror,0.16,6,0.8,42.35888888888889,8.002876027106103,0.4111111111111111,0.4111111111111111,30.57777777777778,1.0888888888888888,1.7666666666666666,1.6378237615093736,0.9725481895640427,90,31.457777777777782,0.2777777777777778,0.26666666666666666,2.941510526236247,1.3333333333333333,10.90111111111111,0.1333333333333333,1
mirror,0.16,8,0.65,36.28,7.865419059323954,0.37777777777777777,0.37777777777777777,32.544444444444444,1.1666666666666667,1.4333333333333333,2.0860170117900037,0.9494229679686375,90,33.678888888888885,0.23333333333333334,0.2222222222222222,3.213411576921759,1.2555555555555555,2.6011111111111163,0.14444444444444443,1
mirror,0.16,10,0.35,35.49666666666666,7.660844630289677,0.32222222222222224,0.32222222222222224,34.8,1.1555555555555554,0.6555555555555556,2.7247880838685306,0.8538965718732757,90,33.26888888888889,0.25555555555555554,0.25555555555555554,3.195481813343524,1.3111111111111111,2.2277777777777743,0.06666666666666671,1
mirror,0.16,12,0.35,32.91222222222222,7.735051118104833,0.3,0.3,35.833333333333336,1.1222222222222222,0.6333333333333333,2.5452899116274494,0.8550214816580175,90,37.45777777777778,0.26666666666666666,0.26666666666666666,2.9499162041153633,1.1444444444444444,-4.545555555555559,0.033333333333333326,0
mirror,0.16,15,0.35,36.335,8.1425477156798,0.35555555555555557,0.35555555555555557,32.266666666666666,1.0888888888888888,0.45555555555555555,2.4306956006936398,0.8707880323883457,90,44.394444444444446,0.35555555555555557,0.34444444444444444,2.665510528073563,1.1333333333333333,-8.059444444444445,0.0,0
mirror,0.2,0,0.8,84.02111111111111,7.600815958308096,0.6888888888888889,0.6555555555555556,32.77777777777778,1.0888888888888888,2.2222222222222223,2.060977943900153,0.9702245977375312,90,36.25111111111111,0.24444444444444444,0.24444444444444444,3.6048888837942443,1.1444444444444444,47.77,0.4444444444444444,1
mirror,0.2,2,0.8,59.06444444444445,7.79146918351928,0.5333333333333333,0.5111111111111111,34.63333333333333,1.3222222222222222,2.511111111111111,2.073470719096544,0.9680136220281989,90,32.81222222222222,0.24444444444444444,0.2111111111111111,3.90145643313924,1.2,26.25222222222223,0.28888888888888886,1
mirror,0.2,4,0.8,40.45,7.952607319051797,0.4111111111111111,0.4111111111111111,32.15555555555556,1.3222222222222222,2.2,1.9249457299668504,0.9692978946516544,90,17.833333333333332,0.16666666666666666,0.16666666666666666,3.5974575772826647,1.5222222222222221,22.61666666666667,0.24444444444444444,1
mirror,0.2,6,0.5,33.40111111111111,7.5561466400575865,0.3111111111111111,0.3111111111111111,34.01111111111111,1.211111111111111,0.9888888888888889,2.674980204538182,0.9035799108367379,90,33.58555555555555,0.24444444444444444,0.24444444444444444,3.4544180327011014,1.1666666666666667,-0.18444444444443775,0.06666666666666668,0
mirror,0.2,8,0.5,23.182222222222222,7.242068040798843,0.26666666666666666,0.26666666666666666,32.96666666666667,1.2555555555555555,1.2,2.7894719358209494,0.8993868888926652,90,19.92222222222222,0.15555555555555556,0.14444444444444443,3.8550267959275426,1.3888888888888888,3.2600000000000016,0.1111111111111111,1
