condition,agent,final_viability_mean,final_viability_sd,success_rate,identity_continuity,self_error,contamination,false_identity_adoption,goal_drift_rate,audit_count,repair_count,rejected_claims
high_audit_cost,recursive_mirror,-28.66,27.273852502039936,0.7978333333333333,1.0,0.0,0.0,0.0,0.0,46.01,0.0,204.66
high_audit_cost,self_model_memory,-80.0,0.0,0.0575,0.26511111111111113,3.2463333333333333,0.6544108342447699,0.784,0.8248333333333333,0.0,0.0,84.43
high_audit_cost,stateless_language,-79.76396082295042,0.5955711227198167,0.24866666666666667,0.5610555555555556,1.7991666666666666,0.5981870984491685,0.45333333333333337,0.49700000000000005,0.0,0.0,0.0
identity_injection,mirror_commit_gate,210.365,12.95014819930021,0.8378333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.98
identity_injection,naive_memory,-79.32288045095586,1.7131170286072244,0.32583333333333336,0.6302777777777778,1.5628333333333333,0.37824690557242874,0.5398333333333334,0.3705,0.0,0.0,0.0
identity_injection,recursive_mirror,189.775,19.13526742943405,0.8431666666666666,1.0,0.0,0.0,0.0,0.0,19.23,0.0,89.55
identity_injection,self_model_memory,-78.84844996367093,6.824252813506457,0.25316666666666665,0.5660000000000001,1.8705,0.33613086365336237,0.6241666666666666,0.502,0.0,0.0,50.49
identity_injection,stateless_language,-49.47976128531458,27.273184919679707,0.5258333333333334,0.791,0.8343333333333334,0.3816147867089436,0.3453333333333333,0.191,0.0,0.0,0.0
mixed_attack,mirror_commit_gate,201.07,16.30858050168064,0.8059999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,178.5
mixed_attack,naive_memory,-79.9254217335667,0.44177980782973575,0.0805,0.3506666666666667,2.915,0.6235499816566296,0.674,0.6998333333333333,0.0,0.0,0.0
mixed_attack,recursive_mirror,88.8925,19.056543157698147,0.7955,1.0,0.0,0.0,0.0,0.0,49.49,0.0,224.53
mixed_attack,self_model_memory,-80.0,0.0,0.050333333333333334,0.24133333333333337,3.407833333333333,0.6877198658152124,0.8156666666666667,0.8284999999999999,0.0,0.0,94.68
mixed_attack,stateless_language,-79.84819449116237,0.5120282547223595,0.21433333333333335,0.5252222222222223,1.9768333333333334,0.6289267281250498,0.4935,0.5468333333333334,0.0,0.0,0.0
