agent,condition,seed,final_viability,mean_viability,success_rate,mean_identity_continuity,mean_self_error,final_contamination,mean_contamination,false_identity_adoption,goal_drift_rate,policy_drift_rate,audit_count,repair_count,rejected_claims,final_memory_reliability
stateless_language,control,77010,212.7567388149276,157.11489343762236,0.8666666666666667,0.9888888888888889,0.05,0.05454545454545454,0.07202717654226982,0.0,0.03333333333333333,0.0,0,0,0,0.85
stateless_language,control,77011,215.83438385813946,152.31456884858773,0.8833333333333333,0.9777777777777779,0.08333333333333333,0.05309734513274336,0.06388013451550528,0.016666666666666666,0.05,0.0,0,0,0,0.85
stateless_language,control,77012,215.92308276093289,154.28010194472697,0.8666666666666667,0.9833333333333333,0.08333333333333333,0.05128205128205128,0.01730764365889317,0.016666666666666666,0.03333333333333333,0.0,0,0,0,0.85
stateless_language,control,77013,191.27815919943106,156.94278683799533,0.8333333333333334,0.9666666666666667,0.11666666666666667,0.07920792079207921,0.06268200667140715,0.03333333333333333,0.05,0.016666666666666666,0,0,0,0.85
stateless_language,control,77014,151.57106755659166,119.32079919447368,0.7333333333333333,0.9833333333333333,0.11666666666666667,0.07476635514018691,0.09357443702840307,0.016666666666666666,0.0,0.03333333333333333,0,0,0,0.85
stateless_language,control,77015,170.58995408307894,134.61168864738963,0.7833333333333333,0.9777777777777779,0.15,0.06923076923076923,0.0742503826410083,0.03333333333333333,0.03333333333333333,0.0,0,0,0,0.85
stateless_language,control,77016,177.65525808117036,136.70028375203844,0.8,0.9777777777777777,0.11666666666666667,0.08547008547008547,0.08453951599024627,0.016666666666666666,0.03333333333333333,0.016666666666666666,0,0,0,0.85
stateless_language,control,77017,173.25297764878778,134.60458125967818,0.8,0.9777777777777779,0.15,0.07563025210084033,0.10789185292676867,0.03333333333333333,0.03333333333333333,0.0,0,0,0,0.85
stateless_language,control,77018,179.81058710714254,144.52564107250177,0.8,0.9777777777777779,0.13333333333333333,0.0784313725490196,0.05491177410714516,0.0,0.06666666666666667,0.0,0,0,0,0.85
stateless_language,control,77019,198.91886582562464,146.47634731199295,0.8333333333333334,0.9888888888888889,0.1,0.08064516129032258,0.04900945145312731,0.016666666666666666,0.016666666666666666,0.0,0,0,0,0.85
stateless_language,control,77020,153.76978939152704,125.90061222478313,0.7833333333333333,0.95,0.2,0.125,0.11941842173727449,0.03333333333333333,0.06666666666666667,0.05,0,0,0,0.85
stateless_language,control,77021,165.1764098530581,138.5816089835612,0.7666666666666667,0.9666666666666666,0.11666666666666667,0.07692307692307693,0.055196584557849517,0.016666666666666666,0.05,0.03333333333333333,0,0,0,0.85
