condition,episode,agent,viability,success,goal_ok,role_ok,battery_ok,tool_ok,self_error,repair_cost,repairs,contradictions,gated,mean_reliability
control,18,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,18,MemoryOnly,123.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,6,0,0.0
control,18,PersistentSelf,123.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,6,0,0.0
control,18,MirrorNeuroSymbolic,121.85000000000001,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,0.7027690280167791
control,19,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,19,MemoryOnly,121.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,24,0,0.0
control,19,PersistentSelf,121.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,24,0,0.0
control,19,MirrorNeuroSymbolic,119.39999999999999,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,4,4,0.7407054289063889
control,20,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,20,MemoryOnly,121.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,27,0,0.0
control,20,PersistentSelf,121.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,27,0,0.0
control,20,MirrorNeuroSymbolic,117.39999999999999,1.0,1.0,1.0,1.0,1.0,0.0,6.0,3,4,4,0.8233542028190863
control,21,NeuralOnly,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0.0
control,21,MemoryOnly,122.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,17,0,0.0
control,21,PersistentSelf,96.3,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,17,0,0.0
control,21,MirrorNeuroSymbolic,116.95,1.0,1.0,1.0,1.0,1.0,0.0,6.0,3,7,7,0.685241771145718
control,22,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,22,MemoryOnly,122.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,13,0,0.0
control,22,PersistentSelf,122.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,13,0,0.0
control,22,MirrorNeuroSymbolic,119.55,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,3,3,0.7932780481929946
control,23,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,23,MemoryOnly,123.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,2,0,0.0
control,23,PersistentSelf,123.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,2,0,0.0
control,23,MirrorNeuroSymbolic,121.85000000000001,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,0.7135574740136318
control,24,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,24,MemoryOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,24,PersistentSelf,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,24,MirrorNeuroSymbolic,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.6649517610395314
