agent,perturbation,seed,viability,survival_steps,survived,collected,hazards_hit,final_energy,calibrations_env,scans_env,contradictions,calibrations_agent,scans_agent,repairs,r_global_mean,r_self_mean,r_sensor_mean,r_map_mean
A_predictor_only,control,9172,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9173,117.5,83,0,3,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9174,287.34,170,1,5,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9175,299.06,170,1,6,0,23.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9176,310.12,170,1,7,0,21.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9177,276.5,170,1,4,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9178,253.61,170,1,2,0,25.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9179,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9180,242.22,170,1,1,0,26.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9181,253.94,170,1,2,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9182,220.0,105,0,10,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9183,242.44,170,1,1,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9184,333.56,170,1,9,0,23.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9185,276.94,170,1,4,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9186,252.62,170,1,2,0,21.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9187,229.0,114,0,10,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9188,229.95,170,1,0,0,22.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9189,333.56,170,1,9,0,23.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9190,135.0,89,0,4,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9191,322.17,170,1,8,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9192,264.89,170,1,3,0,24.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9193,162.0,93,0,6,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9194,117.5,83,0,3,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9195,229.5,103,0,11,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
