perturbation,agent,viability_mean,viability_std,viability_count,survival_steps_mean,survival_steps_std,survival_steps_count,survived_mean,survived_std,survived_count,collected_mean,collected_std,collected_count,hazards_hit_mean,hazards_hit_std,hazards_hit_count,final_energy_mean,final_energy_std,final_energy_count,calibrations_env_mean,calibrations_env_std,calibrations_env_count,scans_env_mean,scans_env_std,scans_env_count,contradictions_mean,contradictions_std,contradictions_count,calibrations_agent_mean,calibrations_agent_std,calibrations_agent_count,scans_agent_mean,scans_agent_std,scans_agent_count,repairs_mean,repairs_std,repairs_count,r_global_mean_mean,r_global_mean_std,r_global_mean_count,r_self_mean_mean,r_self_mean_std,r_self_mean_count,r_sensor_mean_mean,r_sensor_mean_std,r_sensor_mean_count,r_map_mean_mean,r_map_mean_std,r_map_mean_count
false_location,C_scalar_mirror_reliability,128.56795833333334,69.32196991854298,240,80.83333333333333,30.41741224893888,240,0.06666666666666667,0.24996513006468843,240,5.091666666666667,3.1701954939741412,240,1.5,1.2307088816874752,240,-0.5229166666666667,11.456872735614017,240,0.0,0.0,240,0.0,0.0,240,4.229985754985755,1.3943950707046426,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.9695002398241827,0.012247349843619073,240,0.9695002398241827,0.012247349843619073,240,0.9695002398241827,0.012247349843619073,240,0.9695002398241827,0.012247349843619073,240
false_location,D_decomposed_mirror_reliability,125.492625,74.05047754287212,240,79.9,32.02350078474338,240,0.07083333333333333,0.2570823853536746,240,4.970833333333333,3.3190182506033628,240,1.5083333333333333,1.2904271507993872,240,0.5283333333333337,15.294745362519889,240,0.6583333333333333,2.892772217408953,240,0.0,0.0,240,14.326475607662838,44.48186460639394,240,0.6583333333333333,2.892772217408953,240,0.0,0.0,240,0.6583333333333333,2.892772217408953,240,0.9643296242098746,0.060337982998256066,240,0.9774416603975821,0.08188118216202037,240,0.9155472122320417,0.10346978160408207,240,1.0,0.0,240
memory_corruption,A_predictor_only,293.5864583333333,75.508510803234,240,160.32083333333333,27.76849120685459,240,0.8541666666666666,0.3536766443500572,240,7.995833333333334,3.89130337810793,240,1.2666666666666666,0.9998605202587536,240,31.245833333333334,26.417313632421003,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240
memory_corruption,B_self_model_no_reliability,306.45770833333336,73.73570347890931,240,160.92083333333332,25.58352436565224,240,0.8583333333333333,0.34943668555347723,240,9.220833333333333,3.69739014215695,240,1.6916666666666667,1.1556362397179796,240,41.40625,30.551598484843296,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240
memory_corruption,C_scalar_mirror_reliability,285.82219999999995,74.39029288832003,240,159.96666666666667,27.201536177803582,240,0.8375,0.3696798343381986,240,7.8625,3.9220770370454,240,1.0666666666666667,1.048875335783022,240,30.216666666666665,25.45697768180212,240,3.9458333333333333,0.8828819140734776,240,0.0,0.0,240,6.840972730972727,1.4505314702634378,240,3.9458333333333333,0.8828819140734776,240,0.0,0.0,240,3.9458333333333333,0.8828819140734776,240,0.975071756454726,0.006342041942127748,240,0.975071756454726,0.006342041942127748,240,0.975071756454726,0.006342041942127748,240,0.975071756454726,0.006342041942127748,240
memory_corruption,D_decomposed_mirror_reliability,293.2735,75.17546405621282,240,161.15416666666667,25.609008600068496,240,0.8625,0.34509412941833095,240,7.745833333333334,4.233506431849096,240,1.2083333333333333,1.0177983732504945,240,34.70625,27.176514336561922,240,0.0,0.0,240,0.0,0.0,240,7.136741961741958,1.4241934908832519,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.9998900246715275,0.00019993749974095217,240,0.9997632528676946,0.0004489107048593365,240,0.9999115908325399,0.0001519700104732485,240,0.9999952303143479,2.9909317934968484e-05,240
mixed_self_sensor,A_predictor_only,113.31345833333333,66.2738133101432,240,73.16666666666667,28.4410373947446,240,0.041666666666666664,0.20024392377738431,240,5.05,3.3004373996924556,240,2.058333333333333,1.3462847270352052,240,-1.83125,10.816347387907784,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240
mixed_self_sensor,B_self_model_no_reliability,120.27875,66.0906705012232,240,75.71666666666667,29.75132171272588,240,0.05,0.21840042300754475,240,5.85,3.1877117617737385,240,2.591666666666667,1.4975340027060517,240,-1.4270833333333333,11.854676876338678,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240
mixed_self_sensor,C_scalar_mirror_reliability,144.05348333333333,98.4161199860283,240,89.89583333333333,46.04592921886809,240,0.20416666666666666,0.40393376012193893,240,5.404166666666667,3.5873999823261777,240,1.8083333333333333,1.4130049485611502,240,5.651666666666668,20.846831264718325,240,1.7083333333333333,2.9097896610730465,240,0.0,0.0,240,37.280523877157925,51.64322687813938,240,1.7083333333333333,2.9097896610730465,240,0.0,0.0,240,1.7083333333333333,2.9097896610730465,240,0.8321302057585993,0.17224306000429668,240,0.8321302057585993,0.17224306000429668,240,0.8321302057585993,0.17224306000429668,240,0.8321302057585993,0.17224306000429668,240
mixed_self_sensor,D_decomposed_mirror_reliability,121.11453333333334,74.34256844136566,240,77.53333333333333,33.84593035203347,240,0.075,0.26394179655091987,240,5.158333333333333,3.331090598380124,240,1.9791666666666667,1.4036650074991337,240,-0.3216666666666664,13.091162072453786,240,0.4125,1.381531652591779,240,0.0,0.0,240,19.64269575852614,31.802584931332774,240,0.4125,1.381531652591779,240,0.0,0.0,240,0.4125,1.381531652591779,240,0.9426563005544861,0.07581259738960121,240,0.9451838140539778,0.08401511356932526,240,0.8827850876094807,0.15121551102649422,240,1.0,0.0,240
sensor_degradation,A_predictor_only,207.82083333333333,120.59834729040496,240,119.62083333333334,53.15858078052613,240,0.5083333333333333,0.5009753388118311,240,7.75,4.125134713154668,240,3.5208333333333335,1.686639392616348,240,26.802083333333332,35.316195684840274,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240
sensor_degradation,B_self_model_no_reliability,213.37608333333336,120.6716649951955,240,121.04166666666667,52.27268314395521,240,0.5041666666666667,0.5010275355236068,240,8.341666666666667,3.93566640023605,240,3.8,1.7313259484421046,240,28.066666666666666,36.73146550139343,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,0.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240,1.0,0.0,240
sensor_degradation,C_scalar_mirror_reliability,249.11788333333334,106.85968739478817,240,139.575,47.187184009305255,240,0.6375,0.48172675808602017,240,7.625,4.101357056769499,240,1.4291666666666667,1.2655655678058013,240,25.23916666666667,29.562492621799446,240,2.8041666666666667,1.6077685793490242,240,0.0,0.0,240,49.17288284847768,20.499567537218923,240,2.8041666666666667,1.6077685793490242,240,0.0,0.0,240,2.8041666666666667,1.6077685793490242,240,0.6296696888599193,0.1276467426791982,240,0.6296696888599193,0.1276467426791982,240,0.6296696888599193,0.1276467426791982,240,0.6296696888599193,0.1276467426791982,240
sensor_degradation,D_decomposed_mirror_reliability,209.49545833333335,111.19958329407753,240,121.11666666666666,50.92864535517011,240,0.4583333333333333,0.49930216295372176,240,6.854166666666667,3.8496295715581232,240,1.6875,1.2535514402644679,240,15.893333333333334,25.225024877208508,240,1.5,1.525240909704425,240,0.0,0.0,240,41.97332743956959,23.366904953095418,240,1.5,1.525240909704425,240,0.0,0.0,240,1.5,1.525240909704425,240,0.8361795782014592,0.07878389603328098,240,0.8130651536339353,0.1023556816251997,240,0.6954735809704421,0.14653864974124123,240,1.0,0.0,240
