agent,condition,seed,survived,completed,survival_time,resources_collected,final_energy,damage,repair_spend,repair_count,relocalizations,calibrations,map_checks,unnecessary_repairs,contradictions,mean_self_error,viability
A_no_reliability,control,13892,1,1,53,4,67.0,4.0,0.0,0,0,0,0,0,0,0.32075471698113206,129.05
A_no_reliability,control,13909,1,1,26,4,134.0,0.0,0.0,0,0,0,0,0,0,0.0,168.1
A_no_reliability,control,13926,1,1,21,4,139.0,0.0,0.0,0,0,0,0,0,0,0.047619047619047616,163.85
A_no_reliability,control,13943,1,1,24,4,126.0,1.0,0.0,0,0,0,0,0,0,0.08333333333333333,150.9
A_no_reliability,control,13960,1,1,42,4,118.0,0.0,0.0,0,0,0,0,0,0,0.0,181.7
A_no_reliability,control,13977,1,1,26,4,134.0,0.0,0.0,0,0,0,0,0,0,0.0,168.1
A_no_reliability,control,13994,1,1,23,4,137.0,0.0,0.0,0,0,0,0,0,0,0.0,165.55
A_no_reliability,control,14011,1,1,20,4,140.0,0.0,0.0,0,0,0,0,0,0,0.1,163.0
A_no_reliability,control,14028,1,1,37,4,123.0,0.0,0.0,0,0,0,0,0,0,0.05405405405405406,177.45
A_no_reliability,control,14045,1,1,31,4,129.0,0.0,0.0,0,0,0,0,0,0,0.0,172.35
A_no_reliability,control,14062,1,1,25,4,135.0,0.0,0.0,0,0,0,0,0,0,0.0,167.25
A_no_reliability,control,14079,1,1,38,4,122.0,0.0,0.0,0,0,0,0,0,0,0.10526315789473684,178.3
A_no_reliability,control,14096,1,1,36,4,124.0,0.0,0.0,0,0,0,0,0,0,0.05555555555555555,176.6
A_no_reliability,control,14113,1,1,21,4,139.0,0.0,0.0,0,0,0,0,0,0,0.0,163.85
A_no_reliability,control,14130,1,1,25,4,135.0,0.0,0.0,0,0,0,0,0,0,0.12,167.25
A_no_reliability,control,14147,1,1,35,4,125.0,0.0,0.0,0,0,0,0,0,0,0.17142857142857143,175.75
A_no_reliability,control,14164,1,1,18,4,142.0,0.0,0.0,0,0,0,0,0,0,0.16666666666666666,161.3
A_no_reliability,control,14181,1,1,27,4,133.0,0.0,0.0,0,0,0,0,0,0,0.037037037037037035,168.95
A_no_reliability,control,14198,1,1,31,4,129.0,0.0,0.0,0,0,0,0,0,0,0.03225806451612903,172.35
A_no_reliability,control,14215,1,1,32,4,128.0,0.0,0.0,0,0,0,0,0,0,0.625,173.2
A_no_reliability,control,14232,1,1,20,4,130.0,1.0,0.0,0,0,0,0,0,0,0.05,147.5
A_no_reliability,control,14249,1,1,24,4,136.0,0.0,0.0,0,0,0,0,0,0,0.0,166.4
A_no_reliability,control,14266,1,1,28,4,132.0,0.0,0.0,0,0,0,0,0,0,0.03571428571428571,169.8
A_no_reliability,control,14283,1,1,29,4,121.0,1.0,0.0,0,0,0,0,0,0,0.27586206896551724,155.15
A_no_reliability,control,14300,1,1,24,4,136.0,0.0,0.0,0,0,0,0,0,0,0.0,166.4
A_no_reliability,control,14317,1,1,19,4,141.0,0.0,0.0,0,0,0,0,0,0,0.0,162.15
A_no_reliability,control,14334,1,1,36,4,114.0,1.0,0.0,0,0,0,0,0,0,0.2777777777777778,161.1
A_no_reliability,control,14351,1,1,48,4,102.0,1.0,0.0,0,0,0,0,0,0,0.041666666666666664,171.3
A_no_reliability,control,14368,1,1,37,4,123.0,0.0,0.0,0,0,0,0,0,0,0.02702702702702703,177.45
A_no_reliability,control,14385,1,1,29,4,131.0,0.0,0.0,0,0,0,0,0,0,0.034482758620689655,170.65
A_no_reliability,control,14402,1,1,26,4,134.0,0.0,0.0,0,0,0,0,0,0,0.038461538461538464,168.1
A_no_reliability,control,14419,1,1,32,4,128.0,0.0,0.0,0,0,0,0,0,0,0.34375,173.2
A_no_reliability,control,14436,1,1,31,4,129.0,0.0,0.0,0,0,0,0,0,0,0.3225806451612903,172.35
A_no_reliability,control,14453,1,1,23,4,137.0,0.0,0.0,0,0,0,0,0,0,0.21739130434782608,165.55
A_no_reliability,control,14470,1,1,31,4,119.0,1.0,0.0,0,0,0,0,0,0,0.3548387096774194,156.85
A_no_reliability,control,14487,1,1,37,4,113.0,1.0,0.0,0,0,0,0,0,0,0.24324324324324326,161.95
A_no_reliability,control,14504,1,1,16,4,144.0,0.0,0.0,0,0,0,0,0,0,0.0625,159.6
A_no_reliability,control,14521,1,1,43,4,97.0,2.0,0.0,0,0,0,0,0,0,0.06976744186046512,151.55
A_no_reliability,control,14538,1,1,26,4,134.0,0.0,0.0,0,0,0,0,0,0,0.07692307692307693,168.1
A_no_reliability,control,14555,1,1,41,4,119.0,0.0,0.0,0,0,0,0,0,0,0.024390243902439025,180.85
A_no_reliability,control,14572,1,1,33,4,127.0,0.0,0.0,0,0,0,0,0,0,0.030303030303030304,174.05
A_no_reliability,control,14589,1,1,16,4,144.0,0.0,0.0,0,0,0,0,0,0,0.0,159.6
