agent,perturb_rate,repair_cost,threshold,viability_mean,viability_sem,survival_rate,success_rate,mean_steps,mean_hazard_hits,mean_repairs,mean_self_error,mean_reliability,n,baseline_viability,baseline_survival,baseline_success,baseline_self_error,baseline_hazard_hits,delta_viability,delta_survival
mirror,0.04,4,0.8,112.25333333333334,4.754469137456486,0.9,0.9,24.522222222222222,0.5111111111111111,0.6111111111111112,0.525231089781476,0.9893430890146974,90,87.95777777777779,0.6555555555555556,0.6444444444444445,0.8896398894225039,0.4444444444444444,24.295555555555552,0.24444444444444446
mirror,0.04,6,0.35,88.38666666666667,6.565932429150471,0.6888888888888889,0.6777777777777778,29.711111111111112,0.6,0.32222222222222224,0.8055954811217053,0.9136676254734223,90,81.12666666666668,0.6,0.5888888888888889,1.0306177552000921,0.5222222222222223,7.259999999999991,0.0888888888888889
mirror,0.04,6,0.5,102.2,6.438674113866091,0.8222222222222222,0.8111111111111111,28.511111111111113,0.6666666666666666,0.5666666666666667,0.6696800687684129,0.9572900951609284,90,81.12666666666668,0.6,0.5888888888888889,1.0306177552000921,0.5222222222222223,21.073333333333323,0.2222222222222222
mirror,0.04,6,0.65,103.13555555555557,6.173362355662422,0.8333333333333334,0.8333333333333334,28.155555555555555,0.7333333333333333,0.6888888888888889,0.5340024447031275,0.9779462962962205,90,81.12666666666668,0.6,0.5888888888888889,1.0306177552000921,0.5222222222222223,22.00888888888889,0.2333333333333334
mirror,0.04,6,0.8,106.63555555555557,5.8329481544551784,0.8666666666666667,0.8666666666666667,27.88888888888889,0.7333333333333333,0.7222222222222222,0.5111820734468794,0.983869087691146,90,81.12666666666668,0.6,0.5888888888888889,1.0306177552000921,0.5222222222222223,25.50888888888889,0.2666666666666667
mirror,0.04,8,0.35,85.26111111111112,6.811427515954694,0.6555555555555556,0.6555555555555556,28.166666666666668,0.5333333333333333,0.3111111111111111,0.7467467550195568,0.9212884751996893,90,82.37111111111112,0.6111111111111112,0.6111111111111112,0.904785365603294,0.5444444444444444,2.8900000000000006,0.0444444444444444
mirror,0.04,8,0.5,97.84555555555556,6.129129230272116,0.7555555555555555,0.7444444444444445,27.81111111111111,0.3888888888888889,0.5,0.6563678024140062,0.9549058961821533,90,82.37111111111112,0.6111111111111112,0.6111111111111112,0.904785365603294,0.5444444444444444,15.474444444444444,0.14444444444444438
mirror,0.04,8,0.65,104.28333333333333,5.986036237586845,0.8333333333333334,0.8333333333333334,27.755555555555556,0.5444444444444444,0.6111111111111112,0.5323355990785733,0.9743572428069729,90,82.37111111111112,0.6111111111111112,0.6111111111111112,0.904785365603294,0.5444444444444444,21.912222222222212,0.2222222222222222
mirror,0.04,8,0.8,104.28333333333333,5.986036237586845,0.8333333333333334,0.8333333333333334,27.755555555555556,0.5444444444444444,0.6111111111111112,0.5323355990785733,0.9743572428069729,90,82.37111111111112,0.6111111111111112,0.6111111111111112,0.904785365603294,0.5444444444444444,21.912222222222212,0.2222222222222222
mirror,0.04,10,0.35,80.22666666666667,6.952925142697142,0.6222222222222222,0.6222222222222222,27.18888888888889,0.4666666666666667,0.3,0.9098458822370843,0.9167766022253594,90,75.61333333333334,0.5777777777777777,0.5777777777777777,1.03320926635998,0.6222222222222222,4.61333333333333,0.04444444444444451
